qstr_Breaking_camp...|야영지를 파괴합니다...
qstr_It_seems_that_{s31}_w|{s32}이(가) 가축 도둑질 음모에 가담했다는 사실이 밝혀지자, {s31}은(는) 매우 불쾌해한 듯합니다.
qstr_It_appears_{s32}_had|{s32}은(는) 최근의 살인 사건과 연루되는 것을 면한 듯 보이며, {s31}와(과)의 관계도 악화되지 않았습니다.
qstr_Winter_is_the_worst_|겨울은 전쟁을 치르기에 최악의 시기입니다. 춥고 비가 잦으며 식량은 부족합니다. 겨울이 되면 장정들은 원정을 떠나기보다 모닥불가에 머물고 싶어 할 것이니, 부대의 사기와 식량 비축량을 늘 살피십시오.
qstr_{s40}_decided_to_bec|{s40}은(는) {s39} 인근에서 모험가가 되기로 결심했습니다.
qstr_It_seems_your_soldie|병사들이 즐거운 시간을 보낸 듯하며, 보관함에 있던 술을 꺼내 마시며 기운을 차렸습니다.
qstr_It_seems_someone_wen|누군가 당신의 소지품을 뒤져서 {s33}을(를) 훔쳐 간 것 같습니다.
qstr_{s22}|{s22}
qstr_{s1}_of_{s2}_has_bee|{s2}의 {s1}이(가) 포로 상태에서 풀려났습니다.
qstr_{s33}_was_beaten_up_|{s33}은(는) 성난 군중들에게 매를 맞고 {s34}의 지하 감옥에 던져졌습니다.
qstr_{s33}_s_attempts_to_|{s34}의 주민들에게 영향력을 행사하려던 {s33}의 시도는 실패로 돌아갔습니다.
qstr_The_people_of_{s34}_|{s34}의 주민들이 당신을 몹시 증오하여, 경비병들이 {s33}의 입성을 거부했습니다.
qstr_A_livestock_epidemic|{s4}에 가축 전염병이 돌아 소 {reg4}마리가 폐사했습니다.
qstr_A_livestock_epidemic_|{s4}에 가축 전염병이 돌아 양 {reg5}마리가 폐사했습니다.
qstr_A_livestock_epidemic_h|{s4}에 가축 전염병이 돌아 소 {reg4}마리와 양 {reg5}마리가 폐사했습니다.
qstr_You_receive_a_messag|{s1}(으)로부터 전갈이 도착했습니다. 그는 자신의 품위에 걸맞은 생활을 유지할 수 있도록 영지를 하사해 달라고 요구합니다.
qstr_You_receive_a_message|{s1}(으)로부터 전갈이 도착했습니다. 그는 가신들을 보살펴야 하는 주군으로서의 의무를 당신에게 상기시키고 있습니다.
qstr_Your_men_made_some_d|부하들이 암소의 젖으로 맛좋은 버터를 만들었습니다.
qstr_A_livestock_epidemic_ha|가축 전염병이 돌아 {s4} 인근 농장에 있던 당신의 소 {reg5}마리가 폐사했습니다.
qstr_A_livestock_epidemic_has|가축 전염병으로 소 {reg4}마리가 죽었으며, {s4} 인근 농장에 있던 당신의 소 {reg5}마리 또한 폐사했습니다.
qstr_Your_party_is_spotte|당신의 부대가 {s1}에게 발각되었습니다!
qstr_Your_men_have_nothin|병사들이 먹을 것이 아무것도 없습니다!
qstr_{reg1}_{s1}_{reg2?ha|{s1} {reg1}명이 밤을 틈타 부대에서 탈영했습니다.
qstr_{s1}_of_the_{s3}_has|{s3}의 포로였던 {s1}이(가) 자유를 되찾았습니다.
qstr_{s1}_is_no_longer_in|{s1}은(는) 더 이상 밤마다 도적들에게 시달리지 않습니다.
qstr_{s1}_has_won_the_tou|{s1}이(가) {s2}의 대회에서 우승을 차지했습니다.
qstr_You_pay_for_accommod|숙박료를 지불했습니다.
qstr__Your_tactics_skill_|전술 기술이 1 상승했습니다.
qstr__Your_persuasion_ski|설득력 기술이 1 상승했습니다.
qstr__Your_leadership_ski|지휘력 기술이 1 상승했습니다.
qstr__Your_intelligence_h|지능 능력치가 1 상승했습니다.
qstr__Your_trade_skill_ha|상술 기술이 1 상승했습니다.
qstr__Your_weapon_master_|무기의 달인 기술이 1 상승했습니다.
qstr__Your_engineer_skill|기계공 기술이 1 상승했습니다.
qstr_You_have_finished_re|{s1}을(를) 완독했습니다.{s2}
qstr_Book_Read|책 읽기
qstr_Christian_monastery|기독교 수도원
qstr_Christian_church|기독교 교회
qstr_shrine_to_Norse_gods|노르드 신들의 성소
qstr_temple_to_Odin|오딘의 사원
qstr_People_of_{s24}_are_|{s24} 주민들이 당신의 종교적 탄압에 반발하여 {s25}을(를) 파괴했습니다.
qstr_You_have_{reg0}_days|{reg0}일 이내에 이 임무를 완료해야 합니다.
qstr_{s1}_is_scouted.|{s1} 정찰 완료.
qstr_{s1}_has_switched_fr|{s1}의 상태가 {s2}에서 {s3}(이)가 되었습니다.
qstr_The_merchants__rest_|{s1}의 상공 회의소가 영지의 번영도를 상승시켰습니다.
qstr_Christian_monastery_|{s33}의 기독교 수도원이 {s34}의 기독교 신앙을 전파합니다.
qstr_Pagan_hof_at_{s33}_r|{s33}의 이교 사원이 {s34}의 기독교 신앙을 약화시킵니다.
qstr_The_scriptorium_in_{|{s1}의 장서관이 당신의 명성을 드높입니다.
qstr_Due_to_the_good_word|기독교 성직자들이 당신을 칭송한 덕분에 {s1}와의 관계가 개선되었습니다.
qstr_Due_to_the_bad_word_|기독교 성직자들이 당신을 비난한 탓에 {s1}와의 관계가 악화되었습니다.
qstr_{s1}_has_become_host|기독교 백성들을 학대한 대가로 {s1}이(가) 당신에게 적대적으로 변했습니다.
qstr_Faction_became_hosti|세력 관계가 악화됨
qstr_Due_to_the_good_word_|영향력 있는 이교도들이 당신을 칭송한 덕분에 {s1}와의 관계가 개선되었습니다.
qstr_Due_to_the_bad_word_i|영향력 있는 이교도들이 당신을 비난한 탓에 {s1}와의 관계가 악화되었습니다.
qstr_{s1}_has_become_hosti|이교도 백성들을 학대한 대가로 {s1}이(가) 당신에게 적대적으로 변했습니다.
qstr_{s13}_has_too_many_t|{s13}에 주둔군이 너무 많습니다. 총사려관이 군대를 소집할 때 징집될 수 있습니다.
qstr_most|대부분의
qstr_half|절반
qstr_some|약간의
qstr_few|몇 개의
qstr_There_are_too_many_m|당신의 은신처에 너무 많은 병력이 주둔해 있습니다, 그들은 불행해하고 굶주리고 있습니다!
qstr_Refuge_Garrison|은신처 주둔군
qstr_You_receive_word_tha|{s1}의 교관이 훈련을 마쳤다는 보고가 도착했습니다.
qstr_TEST:_I_moved_Lords_|[테스트] 영주들을 세인트 헬레나로 이동시켰습니다.
qstr_TEST:_I_bring_Lords_|[테스트] 영주들을 다시 불러옵니다.
qstr_Physicians_in_larger|큰 도시의 의사에게 대가를 지불하고 부상을 치료할 수 있습니다. 며칠 내로 상처가 아물며 부상으로 인한 불이익도 사라질 것입니다.
qstr_You_are_wounded|부상을 입었습니다.
qstr_{s1}You_have_only_on|{s1}{reg7}을(를) 치료할 수 있는 기한이 단 하루 남았습니다. 서둘러 큰 도시에 있는 의사에게 방문해 치료를 받으세요.^^
qstr_{s1}{reg7}_of_your_i|{s1}{reg7}을(를) 제때 돌보지 않아 영구적인 흉터가 되었습니다.^^
qstr_{s1}{reg7}_of_your_w|{s1}{reg7}은(는) 완치되어 능력을 온전히 발휘할 수 있게 되었습니다.
qstr_{s1}|{s1}
qstr_Wound_Report|부상 보고
qstr_A_ship_has_been_buil|{s0}에서 주문하신 선박의 건조가 완료되었습니다.
qstr_Ship_finished|선박 건조 완료
qstr_{s0}_has_recovered_f|{s0}의 약탈의 피해를 극복하고 재건되었습니다.
qstr_By_now_you_have_more|이제 한 척 이상의 함선을 보유하게 되었습니다. 해전에서는 9번 부대 지정 단축키를 통해 함선에 '대기' 또는 '돌격' 명령을 내릴 수 있습니다. 부대 목록 상단에 배치된 병사들은 당신과 함께 기함에 승선하며, 나머지 병사들은 후속선에 탑승합니다. 기함은 항구에 정박 중이거나 해상 야영 중에 변경할 수 있습니다. 해안 근처에서 해상 야영 중일 때는 함대를 분리할 수 있으며, 부대를 우클릭하여 가까운 상륙 지점을 찾을 수도 있습니다.
qstr_Ship_management|함선 관리
qstr_Your_troops_are_angr|병사들이 해상에서 밤을 보내는 것을 싫어하여 불만을 품고 있습니다.
qstr_Your_troops_feel_une|병사들이 바다를 건너는 것에 불안감을 느끼고 있습니다.
qstr_Severe_weather_has_d|악천후로 인해 {s1} ({s7})의 선체가 손상되었습니다.
qstr_Severe_weather_has_de|악천후로 인해 {s1} ({s7})의 선체가 파손되어 침몰했습니다.
qstr_vSeason|v 계절
qstr_vWindStrength|v 바람 세기
qstr_The_weather_changed_|현재 기상 상황: '바람 없음'
qstr_The_weather_changed_t|현재 기상 상황: '실바람'
qstr_The_weather_changed_to|현재 기상 상황: '산들바람'
qstr_The_weather_changed_to:|현재 기상 상황: '강한 산들바람'
qstr_The_weather_changed_to:_|현재 기상 상황: '강한 바람'
qstr_The_weather_changed_to:__|현재 기상 상황: '강풍'
qstr_The_weather_changed_to:__S|현재 기상 상황: '폭풍'
qstr_The_operation_of_the|{s33}에서 노예 시장이 운영되어 당신의 명성이 하락했습니다.
qstr_DEBUG_rebellion:_che|[디버그] 반란: {reg1}일에 {s1} 세력 확인 중
qstr_DEBUG_rebellion:_fac|[디버그] 반란: {reg1}일에 {s1} 세력 부활
qstr__Possible_Rebellion_|(반란 징후) 소문에 따르면 {s14}이(가) 당신의 통치에도 불구하고 왕국 전역에서 병사를 모집하고 있다고 합니다.
qstr__Possible_Rebellion__|(반란 징후) 소문에 따르면 {s14}이(가) 반드시 자신의 왕국을 복구하려 할 것이라고 합니다.
qstr__Possible_Rebellion__R|(반란 징후) 소문에 따르면 {s14}이(가) 아직 살아있다고 합니다.
qstr__Possible_Rebellion__Ru|(반란 징후) 소문에 따르면 {s14}이(가) 무기를 비축하며 프랑크족 사이에서 지원군을 찾고 있다고 합니다.
qstr__Possible_Rebellion__Rum|(반란 징후) 소문에 따르면 {s14}이(가) 충복들과 비밀리에 접촉하고 있다고 합니다.
qstr__Possible_Rebellion__Rumo|(반란 징후) 소문에 따르면 사람들이 {s14}의 복위를 지지한다고 합니다.
qstr__Possible_Rebellion__Rumor|(반란 징후) 소문에 따르면 {s14}이(가) 왕좌를 되찾기 위해 군대를 모으고 있다고 합니다.
qstr__Possible_Rebellion__Rumors|(반란 징후) 소문에 따르면 {s14}이(가) 무기를 비축하고 있다고 합니다.
qstr__|
qstr_Congratulations!_You|축하합니다! {s13}에 7명 이상의 영주를 가두는 데 성공했습니다. 당신은 진정한 '지하 감옥의 주인'입니다.
qstr_Dungeon_master_Achie|업적 달성: 지하 감옥의 주인
qstr_Congratulations!_You_|축하합니다! 5명 이상의 여인을 연인으로 만들었습니다. 여인들이 당신에게 완전히 반한 모양이군요. 인기가 대단하니 자부심을 가져도 좋습니다. 이대로 계속 정진하세요!
qstr_Skirt_Chaser_Achieve|업적 달성: 여인 사냥꾼
qstr_Congratulations!_You_v|축하합니다! 가계 보관함에 25통 이상의 와인을 비축했습니다. 벌꿀주와 맥주로 유명한 이 지역에서 정말 대단한 업적입니다. 술꾼이거나, 아니면 진정한 와인 애호가이시군요!
qstr_Wine_Connoisseur_Ach|업적 달성: 와인 애호가
qstr_{s33}_revokes_your_r|{s33}와의 관계가 악화되어 {s34}에서 병사를 모집할 권리를 박탈당했습니다.
qstr_The_village_leader_o|{s34} 마을 장로와의 관계가 나빠져 병사를 모집할 권리를 박탈당했습니다.
qstr_fixing_banners;_plea|깃발 수정 중; 당신의 문장을 다시 설정하십시오.
qstr_unable_to_restore_ba|부대 {reg1}에 할당된 {reg0}번 문장을 복원할 수 없습니다.
qstr_Prisoners_revolted!_|{s33} 인근에서 포로들이 폭동을 일으켰습니다!
qstr_Your_gift_sent_to_{s|{s13}에게 보낸 선물이 효과가 있었는지 관계가 개선되었습니다.
qstr_Gift_Sent_to_Lord|영주에게 선물 보내기
qstr_Tutorial|튜토리얼
qstr_Recruiting_warriors|전사 모집
qstr_Your_troops_feel_ref|병사들이 밤새 휴식을 취한 덕분에 기운을 되찾았습니다.
qstr_Your_men_need_rest_o|병사들에게 휴식이 필요합니다. 쉬지 못하면 사기가 떨어질 것입니다.
qstr_Foragers|징발병
qstr_Scouts|정찰병
qstr_Morale|사기
qstr_Each_day_of_the_sieg|포위전이 지속되는 동안 매일 제반 비용을 지불해야 합니다. 포상금 지급, 참호 및 화장실 설치, 마구간 정돈, 식수와 식량 보급, 취사, 그리고 병사들을 위한 오락거리를 마련하는 데 비용이 소모됩니다.
qstr_You_do_not_have_mone|포위 공격을 위한 기본 경비를 충당할 자금이 부족합니다. 이로 인해 부대의 사기가 크게 떨어질 것입니다.
qstr_{reg65?my_Lady:my_Lo|{reg65?부인:경}
qstr_{reg65?My_Lady:My_Lo|{reg65?부인:경}
qstr_{reg65?madame:sir}|{reg65?부인:경}
qstr_{reg65?Madame:Sir}|{reg65?부인:경}
qstr_Dog|개
qstr_Welcome_landlubber._|어서 오시오, 육지내기여. 내가 이곳의 조선공이오.
qstr_Welcome_{reg59?lady:|환영하오, {playername} {reg59?부인:경}.
qstr_Welcome_{reg59?madam|환영하오, {reg59?부인:선생}.
qstr_Welcome.|환영하오.
qstr_Your_ship_is_in_a_ba|선박의 상태가 엉망이구려. 내 조선소에서 수리하는 것이 좋겠소.
qstr_The_{s7}_is_the_most|{s7}함은 내가 본 선박 중 가장 장엄한 배요. {reg59?부인:경}, 우리 항구에 이 배를 맞이하게 되어 진심으로 영광이오.
qstr_Your_ship_is_of_poor|선박의 품질이 형편없구려. 나에게서 더 좋은 배를 새로 장만하는 게 어떻겠소.
qstr_That_s_a_decent_ship|제법 괜찮은 배를 가지고 있구려.
qstr_Your_ship_the_{s7}_i|{s7}함은 정말 경이로운 배요. 원한다면 내 일꾼들이 칠을 새로 해줄 수도 있소.
qstr_The_{s7}_is_a_wonder|{s7}함은 정말 훌륭한 배요. 내 항구에서 이 배를 보니 기쁘구려.
qstr_{s2}_{s3}|{s2} {s3}
qstr_You_are_already_in_{|당신은 이미 {s1}에 있습니다.
qstr__and_your_troops| 와(과) 당신의 부대
qstr_There_is_a_ship_that|{reg1} 페닝을 지불하면 {s3}을(를) {s1} 항구로 예인해올 수 있소.
qstr_I_changed_my_mind.|마음이 바뀌었소.
qstr_For_a_ship_of_this_s|이 정도 크기의 배를 건조하려면 목재, 타르, 양모가 더 필요하오. 그러니 당신이 이 재료들을 직접 구해와야겠소.
qstr___He_indicates_the_f|--그는 팔을 들어 만의 저편을 가리켰습니다.--
qstr_Now_you_must_join_th|이제 하랄드 하랄드손과 '황소목' 스벤이 이끄는 함대에 합류해야 합니다. 함대는 곧 리베를 떠나 앵글리아로 향할 것입니다. 운명이 다시 한번 당신을 낯선 땅으로 인도하고 있습니다.
qstr___His_eyes_shine.__|--그의 눈이 번뜩였습니다.--
qstr_The_port_master_of_R|리베의 항구장은 스벤의 은신처가 {s3}의 남동쪽에 있다는 사실을 알려주었습니다. 그곳으로 가서 '워든 릭'의 포로들을 구출하십시오.
qstr___He_approaches_you_|--그가 바짝 다가오자 코끝을 찌르는 저렴한 맥주 냄새가 느껴졌습니다.--
qstr___He_looks_with_a_pe|--그가 음흉한 눈빛으로 쳐다봅니다.--
qstr_The_port_master_of_Ri|리베의 항구장은 히베르니아 에리우의 {s3} 근처 글렌 다 로흐 수도원에 있는 '콜룸 카일의 시편'이라는 책을 원하고 있습니다.
qstr_The_port_master_from|리베의 항구장은 스벤의 은신처가 {s3}의 남동쪽에 있다는 사실을 알려주었습니다. 그곳으로 가서 '워든 릭'의 포로들을 구출하십시오.
qstr___He_gives_you_a_str|--그가 당신을 이상한 눈초리로 바라봅니다.--
qstr_The_port_master_of_{|{s4}의 항구장은 에리우 {s3}에 있는 현지 상인 호그니에게 모피 뭉치를 배달해달라고 요청했습니다.
qstr_The_port_master_from_|{s4}의 항구장은 아틀리가 있는 '오딘의 동굴' 위치가 {s3} 근처임을 알려주었습니다. 보도의 편지를 되찾으러 그곳으로 가십시오.
qstr_The_port_master_from_R|리베의 항구장은 아틀리가 있는 '오딘의 동굴' 위치가 {s3} 근처임을 알려주었습니다. 보도의 편지를 되찾으러 그곳으로 가십시오.
qstr_Embark_on_your_boat_|배에 올라 함대에 합류하십시오. 그리고 두아르-안-에네즈로 함대를 이끄십시오.
qstr_Perhaps_there_is_a_l|아마 세상의 종말이 오기까지 약간의 시간은 남아있을 것이오. (냉정함)
qstr_You_re_right!_The_co|당신의 말이 맞소! 바이킹의 도래야말로 종말이 다가왔다는 증거 아니겠소! (우울증)
qstr_The_Bible_also_says_|성경에는 한 왕이 온 땅을 통일할 것이라 기록되어 있소. 내가 바로 그 왕이오. (다혈질)
qstr_A_change_in_the_worl|세상이 변한다는 건 용기 있는 자에게 더 많은 기회가 열린다는 뜻일 뿐이오. (낙관적)
qstr_I_appreciate_your_re|안심시켜 주려는 마음은 고맙소만, 세상의 종말은 이미 정해진 운명이라 우리가 무엇을 한들 바꿀 수 없을까 두렵구려. 우리가 할 수 있는 일은 하나님의 군대가 올 때까지 싸우며 기다리는 것뿐이오.
qstr_Exactly!_West_Seaxe_|그렇소! 웨식스는 신앙의 마지막 보루이나, 그 모든 노력에도 불구하고 결국 이교도 무리에게 굴복하고 말 것이오. 우린 모두 죽은 목숨이란 말이오! 이제 나를 내버려 두시오. 더 이상 말 섞고 싶지 않소.
qstr_Your_self_confidence|그 자신감이 내게 위안이 되는구려. 하지만 왕은 결국 악의 군대에게 패배할 것이고, 오직 하나님의 군대가 당도해야만 세상이 구원받을 것이오. 허나 당신이 왕이 된다면, 당신 곁에서 함께 싸우다 죽는 것이 내게는 기쁨이 될 것이오.
qstr_I_m_surprised_that_y|타인의 불행에서 이득을 취하려 하다니 놀랍구려. 당신은 내가 생각했던 것보다 훨씬 무자비한 사람이었소.
qstr_You_need_to_rid_your|그 오만함을 버려야 할 것이오. (냉정함)
qstr_I_am_always_willing_|언제든 배울 준비가 되어 있소. 고맙소, 에길. (우울증)
qstr_I_think_it_s_clear_t|운명은 당신보다 나를 더 눈여겨보고 있는 게 분명하오. (다혈질)
qstr_Silence!_You_shall_n|입 닥치시오! 내 권위에 도전하려 들지 마시오! (낙관적)
qstr_Yes_I_pretended_to_b|그래, 겸손한 척 좀 해봤소. 뭐, 내게 어울리는 옷은 아니지만 말이오. 지도자에게 오만함은 때로 덕목이 되기도 하오. 당신도 그 필요성을 좀 배워야 할 필요가 있고 말이오. -- 충고를 하나 하겠소. -- 병사들은 당신의 자신감을 보고 따를 것이오. 명령은 날카로워야 하고, 불복종에는 처벌이 따라야 하는 것이오. 이것이 내가 중시하는 지도자의 모습이고 당신이 새겨들었으면 좋겠구려. 오늘은 이쯤 하겠소.
qstr_I_understand._Someon|그렇겠지. 당신 같은 이가 내 경험과 지식을 어찌 따라오겠소. 하지만 배우려는 자세만큼은 가상하군, {playername}. 나를 본받아 보시오. 사람들이 우러러보고 존경할 만한 사람이 되란 말이오. 전투에선 항상 앞장서서 모범을 보이고, 전리품을 나눌 땐 욕심 없이 병사들과 나누시오. 그것이 내 비결이지. 자, 나는 이제 할 일을 하러 가보겠소.
qstr_Your_men_see_the_way|병사들이 에길이 당신을 대하는 방식을 지켜보고 있습니다. 당신의 권위가 실추되고 있습니다.
qstr_And_people_say_that_|남들은 나더러 오만하다고들 하지! 하지만 내가 틀린 말 했소? 뭐, 상관없소. 나는 그 성격이 마음에 드니까. 지도자라면 자고로 스스로에 대한 확신을 보이고 그 카리스마로 남을 설득할 줄 알아야 하는 법이지. 당신 말이 맞소. 이제 내가 당신에게 가르칠 건 없구려.
qstr_I_only_pretended_to_|조언하는 척 좀 해봤는데, 역시 들을 생각이 없구려. 뭐, 방금 명령으로 당신의 권위를 보이긴 했지만, 그렇다고 당신이 훌륭한 지도자라는 뜻은 아니오. 시키는 대로 입 닥치고 내 할 일이나 하러 가겠소.
qstr_I_am_just_a_poor_far|난 그저 이 농장의 가난한 농부일 뿐이오. 저기 있는 농장 관리인과 이야기해보시오.
qstr_I_just_work_the_fiel|난 여기서 밭이나 가는 사람이라오. 저기 있는 농장 관리인과 이야기해보시오.
qstr_Stranger_go_talk_to_|이방인, 여기서 거래를 하고 싶다면 저기 있는 농장 관리인과 이야기하는 게 좋을 거요.
qstr__Relation:_{reg0}| 관계도: {reg0}
qstr_{s12}I_want_to_plund|{s12}{s1}을(를) 약탈하여 내 것으로 취하고 싶소. {s2}
qstr__no_fiefs_|(영지 없음)
qstr__fiefs:_{s0}_|(영지: {s0})
qstr___The_child_looks_at|--아이가 장난기 어린 눈으로 당신을 보며 웃습니다.--
qstr_My_mother_told_me_no|엄마가 모르는 사람이랑 이야기하지 말래요. 안녕!
qstr_Running_is_fun!_I_ca|달리기는 재밌어요! 제가 아저씨보다 훨씬 빨리 뛸 수 있다고요! 시합해 볼래요?
qstr_We_are_landless_poor|우린 땅도 없고 가난하며 핍박받는 처지라오, {reg59?아가씨:형씨}. 삶이 우릴 이 지경으로 몰아넣었지. 허튼짓하면 바로 꿰어버릴 테니 조심하시오.
qstr_Luckily_for_you_you_|넌 운이 좋아, 딱 좋은 분위기에 온 거야. 너의 돈을 전부 다 내놔, 그럼 네 목숨은 그냥 살려 드리지.
qstr_This_a_robbery_eh?_I|이거 강도질 맞냐고? 그래, 가진 걸 전부 넘길 기회를 딱 한 번 주지. 안 그러면 내 동료들이 널 죽일 거다. 알아들었어?
qstr_big|대형
qstr_medium_sized|중형
qstr_small|소형
qstr_don_t_|~하지 않음
qstr_Note_4:_{s9}_has_sen|네 번째 기록: {s9}은(는) 당신에게 암살자를 보냈습니다. 그들은 강가에서 당신을 습격했고, 당신은 그들의 공격에서 무사히 살아남았습니다. 하지만 이제 예전처럼 편히 잠들기는 어려울 것입니다.
qstr___A_large_group_of_S|--색슨인 무리가 당신의 길을 가로막습니다. 우두머리가 앞으로 나오더니 손을 들어 보입니다.--
qstr_we_have_made_very_li|지금까지 진전이 거의 없소.
qstr_we_have_succeeded_in|어느 정도 성과를 거두긴 했으나, 갈 길이 아직 멀었소.
qstr_we_have_become_a_sig|이제 상당한 세력을 구축했소. 승산은 반반이라 보오.
qstr_we_are_winning_the_w|전쟁에서 이기고는 있으나, 적들이 여전히 버티고 있소.
qstr_we_are_on_the_verge_|승리가 코앞이오. 남은 적들은 위협이 되지 않으나, 끝까지 소탕해야 하오.
qstr_Warlord|군장
qstr_Note_5:_You_fell_in_|다섯 번째 기록: 당신은 모리안과 사랑에 빠졌습니다.
qstr_{s21}_seems_happy._{|{s21}은(는) 행복해 보입니다. {s21}은(는) 만족스러운 표정입니다.
qstr___She_smiles.__|--그녀가 미소 짓습니다.--
qstr___He_mutters_somethi|--그는 보이지 않는 누군가와 대화하듯 낮은 목소리로 중얼거립니다.--
qstr___He_seems_very_nerv|--그는 매우 불안하고 겁에 질린 듯합니다.--
qstr_Please_calm_down._I_|진정하시오. 난 당신의 적이 아니오. 심호흡을 하고 내 어머니에 대해 말해주시오. (냉정함)
qstr_You_re_making_me_wor|당신 때문에 나까지 걱정되는구려... 제발 진정하고 내 어머니에 대해 알려주시오. (우울증)
qstr_Relax!_You_re_talkin|진정하시오! 당신은 지금 친구와 대화하고 있는 거요. 자네를 해치려는 자가 누구든 내가 지켜줄 수 있소. (다혈질)
qstr_Calm_down_and_tell_m|진정하고 내 어머니에 대해 이야기하시오! 당장 대답하지 않으면 다음 질문은 당신 시체에다 대고 물어보는 수가 있소. (낙관적)
qstr_Thank_you_for_being_|이해해줘서 고맙소. 오늘 참 고된 하루였는데 이제 좀 낫구려. 잘 들으시오, 꼭 해야 할 중요한 말이 있소.
qstr_Please_please_do_not|제발, 부디 불안해하지 마시오! 스벤은 불안해지면 거슬리는 놈들의 손가락을 잘라버리곤 했지. 보시오, 난 이제 괜찮으니 중요한 이야기를 해주겠소.
qstr_Oh_well_yes_I_trust_|오, 음, 좋소. 당신을 믿겠소. 그녀가 당신을 믿으라고 했으니까요. 내가 아는 모든 걸 말해주겠소.
qstr_Oh_my_god..._Do_not_|오, 신이시여.. 제발 날 죽이지 마시오! 제발 죽이지 마시오! 조용히 하겠소, 당신에게 기어가 발에 입이라도 맞추고 싶소. 나는 당신의 종이오, 당신의 노예요. 내가 아는 모든 것을 말하겠소.
qstr___He_seems_calmer.__|--그가 안정을 되찾은 듯 보입니다.--
